ChatID: 1
2025-06-01 12:00:00 | Z3R0 | 192.168.0.3 | Fuck me, dude.
2025-06-01 12:05:00 | ClutchMaster | 192.168.1.1 | Damn, missed again.
2025-06-02 00:22:00 | BlindBandit | 192.168.1.2 | What the fuck are you doing?!
2025-06-02 00:33:00 | ClutchMaster | 192.168.1.1 | Damn it, guys!
2025-06-02 00:43:00 | K1llMePlz | 192.168.0.2 | Damn it, guys!
2025-06-02 00:58:00 | K1llMePlz | 192.168.0.2 | I'm so fucking done.
2025-06-02 01:17:00 | BlindBandit | 192.168.1.2 | I'm so fucking done.
2025-06-02 01:31:00 | K1llMePlz | 192.168.0.2 | Shit team.
2025-06-02 01:46:00 | AimGod | 192.168.0.7 | I'm so fucking done.
2025-06-02 01:51:00 | K1llMePlz | 192.168.0.2 | Fuck me, dude.
2025-06-02 02:03:00 | BlindBandit | 192.168.1.2 | Shit, that was close.
2025-06-02 02:12:00 | K1llMePlz | 192.168.0.2 | Fuck me, dude.
2025-06-02 02:25:00 | K1llMePlz | 192.168.0.2 | Plant the bomb!
2025-06-02 02:38:00 | ClutchMaster | 192.168.1.1 | Damn it, guys!
2025-06-02 02:51:00 | ClutchMaster | 192.168.1.1 | Well played.
2025-06-02 02:57:00 | K1llMePlz | 192.168.0.2 | Who has bomb?
2025-06-02 03:11:00 | ClutchMaster | 192.168.1.1 | Don't peek mid.
2025-06-02 03:31:00 | K1llMePlz | 192.168.0.2 | Save weapons.
2025-06-02 15:50:00 | K1llMePlz | 192.168.0.2 | Anyone has drop?
2025-06-02 16:05:00 | AimGod | 192.168.0.7 | Damn it, guys!
2025-06-02 16:11:00 | ClutchMaster | 192.168.1.1 | Use utility.
2025-06-02 16:25:00 | Z3R0 | 192.168.0.3 | Damn, missed again.
2025-06-02 16:33:00 | AimGod | 192.168.0.7 | Holy shit that was intense.
2025-06-02 16:48:00 | K1llMePlz | 192.168.0.2 | Plant the bomb!
2025-06-02 17:03:00 | AimGod | 192.168.0.7 | Plant the bomb!
2025-06-02 17:08:00 | AimGod | 192.168.0.7 | Sorry, my bad.
2025-06-02 17:24:00 | Z3R0 | 192.168.0.3 | Damn, missed again.
2025-06-02 17:33:00 | Z3R0 | 192.168.0.3 | Anyone has drop?
2025-06-02 17:50:00 | ClutchMaster | 192.168.1.1 | Save weapons.
2025-06-02 18:09:00 | AimGod | 192.168.0.7 | Nice clutch!
2025-06-02 18:15:00 | K1llMePlz | 192.168.0.2 | This team is actually good.
2025-06-02 18:24:00 | BlindBandit | 192.168.1.2 | Save weapons.
2025-06-02 18:32:00 | AimGod | 192.168.0.7 | Let's go A.
2025-06-02 18:48:00 | AimGod | 192.168.0.7 | Anyone has drop?
2025-06-02 19:08:00 | K1llMePlz | 192.168.0.2 | Nice clutch!
2025-06-02 19:17:00 | ClutchMaster | 192.168.1.1 | I need backup.
2025-06-02 19:25:00 | K1llMePlz | 192.168.0.2 | Let's go A.
2025-06-02 19:43:00 | Z3R0 | 192.168.0.3 | Well played.
2025-06-02 19:50:00 | AimGod | 192.168.0.7 | GG guys!
2025-06-02 20:09:00 | ClutchMaster | 192.168.1.1 | Plant the bomb!
2025-06-02 20:14:00 | AimGod | 192.168.0.7 | Plant the bomb!
2025-06-02 20:34:00 | Z3R0 | 192.168.0.3 | Rotate fast.
2025-06-02 20:46:00 | Z3R0 | 192.168.0.3 | I need backup.
2025-06-02 21:01:00 | K1llMePlz | 192.168.0.2 | Don't peek mid.
2025-06-03 09:12:00 | K1llMePlz | 192.168.0.2 | Fuck me, dude.
2025-06-03 09:17:00 | Z3R0 | 192.168.0.3 | GG guys!
2025-06-03 09:23:00 | AimGod | 192.168.0.7 | I'm lagging.
2025-06-03 09:37:00 | ClutchMaster | 192.168.1.1 | Who has bomb?
2025-06-03 09:52:00 | Z3R0 | 192.168.0.3 | Let's go A.
2025-06-03 10:11:00 | K1llMePlz | 192.168.0.2 | Shit team.
2025-06-03 10:21:00 | K1llMePlz | 192.168.0.2 | Fuck me, dude.
2025-06-03 10:40:00 | AimGod | 192.168.0.7 | Anyone has drop?
2025-06-03 10:51:00 | Z3R0 | 192.168.0.3 | I'm lagging.
2025-06-03 11:11:00 | ClutchMaster | 192.168.1.1 | GG guys!
2025-06-03 11:28:00 | Z3R0 | 192.168.0.3 | Who has bomb?
2025-06-03 11:45:00 | K1llMePlz | 192.168.0.2 | Fuck me, dude.
2025-06-03 12:02:00 | ClutchMaster | 192.168.1.1 | I'm lagging.
2025-06-03 12:19:00 | K1llMePlz | 192.168.0.2 | I'm so fucking done.
2025-06-03 12:36:00 | ClutchMaster | 192.168.1.1 | GG guys!
2025-06-03 12:56:00 | K1llMePlz | 192.168.0.2 | Damn it, guys!
2025-06-03 13:16:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-03 13:32:00 | BlindBandit | 192.168.1.2 | I need backup.
2025-06-03 13:48:00 | K1llMePlz | 192.168.0.2 | Damn, missed again.
2025-06-03 13:53:00 | BlindBandit | 192.168.1.2 | I need backup.
2025-06-03 14:11:00 | AimGod | 192.168.0.7 | Plant the bomb!
2025-06-03 14:17:00 | AimGod | 192.168.0.7 | This team is actually good.
2025-06-03 14:35:00 | K1llMePlz | 192.168.0.2 | Shit, that was close.
2025-06-03 14:46:00 | ClutchMaster | 192.168.1.1 | Use utility.
2025-06-03 14:58:00 | AimGod | 192.168.0.7 | Save weapons.
2025-06-03 15:08:00 | BlindBandit | 192.168.1.2 | Well played.
2025-06-03 15:28:00 | BlindBandit | 192.168.1.2 | Rotate fast.
2025-06-03 15:46:00 | AimGod | 192.168.0.7 | Don't peek mid.
2025-06-03 15:55:00 | BlindBandit | 192.168.1.2 | Anyone has drop?
2025-06-03 16:14:00 | Z3R0 | 192.168.0.3 | This team is actually good.
2025-06-04 04:21:00 | Z3R0 | 192.168.0.3 | Who has bomb?
2025-06-04 04:34:00 | K1llMePlz | 192.168.0.2 | Shit, that was close.
2025-06-04 04:40:00 | K1llMePlz | 192.168.0.2 | Damn it, guys!
2025-06-04 04:50:00 | Z3R0 | 192.168.0.3 | Plant the bomb!
2025-06-04 05:03:00 | K1llMePlz | 192.168.0.2 | Damn, missed again.
2025-06-04 05:21:00 | ClutchMaster | 192.168.1.1 | Well played.
2025-06-04 05:26:00 | BlindBandit | 192.168.1.2 | Well played.
2025-06-04 05:36:00 | AimGod | 192.168.0.7 | Who has bomb?
2025-06-04 05:46:00 | BlindBandit | 192.168.1.2 | Let's go A.
2025-06-04 05:55:00 | K1llMePlz | 192.168.0.2 | Shit team.
2025-06-04 06:14:00 | ClutchMaster | 192.168.1.1 | Use utility.
2025-06-04 06:30:00 | AimGod | 192.168.0.7 | Use utility.
2025-06-04 06:38:00 | AimGod | 192.168.0.7 | Sorry, my bad.
2025-06-04 06:52:00 | Z3R0 | 192.168.0.3 | Sorry, my bad.
2025-06-04 06:58:00 | K1llMePlz | 192.168.0.2 | Damn it, guys!
2025-06-04 07:03:00 | BlindBandit | 192.168.1.2 | I need backup.
2025-06-04 07:22:00 | ClutchMaster | 192.168.1.1 | Plant the bomb!
2025-06-04 07:33:00 | ClutchMaster | 192.168.1.1 | Let's go A.
2025-06-04 19:44:00 | Z3R0 | 192.168.0.3 | This team is actually good.
2025-06-04 19:49:00 | AimGod | 192.168.0.7 | I'm lagging.
2025-06-04 20:08:00 | K1llMePlz | 192.168.0.2 | Damn, missed again.
2025-06-04 20:26:00 | Z3R0 | 192.168.0.3 | Let's go A.
2025-06-04 20:31:00 | AimGod | 192.168.0.7 | Save weapons.
2025-06-04 20:49:00 | AimGod | 192.168.0.7 | Plant the bomb!
2025-06-04 20:58:00 | Z3R0 | 192.168.0.3 | GG guys!
2025-06-04 21:07:00 | Z3R0 | 192.168.0.3 | Sorry, my bad.
ChatID: 2
2025-06-01 12:00:00 | GGnore | 192.168.0.9 | I'm so fucking done.
2025-06-01 12:16:00 | ClutchMaster | 192.168.1.1 | Shit team.
2025-06-01 12:32:00 | ToxicTommy | 192.168.0.5 | This game is bullshit.
2025-06-01 12:49:00 | ClutchMaster | 192.168.1.1 | Shit team.
2025-06-01 13:02:00 | GGnore | 192.168.0.9 | Holy shit that was intense.
2025-06-01 13:16:00 | ClutchMaster | 192.168.1.1 | Shit, that was close.
2025-06-01 13:35:00 | ToxicTommy | 192.168.0.5 | Shit team.
2025-06-01 13:40:00 | NovaCat | 192.168.0.4 | Damn, missed again.
2025-06-01 13:51:00 | ToxicTommy | 192.168.0.5 | Fucking campers.
2025-06-01 14:01:00 | ToxicTommy | 192.168.0.5 | Save weapons.
2025-06-01 14:20:00 | ClutchMaster | 192.168.1.1 | Don't peek mid.
2025-06-01 14:26:00 | ClutchMaster | 192.168.1.1 | Save weapons.
2025-06-01 14:42:00 | GGnore | 192.168.0.9 | Damn, missed again.
2025-06-01 14:47:00 | GGnore | 192.168.0.9 | Who has bomb?
2025-06-01 14:58:00 | ToxicTommy | 192.168.0.5 | I need backup.
2025-06-01 15:12:00 | ClutchMaster | 192.168.1.1 | This team is actually good.
2025-06-01 15:17:00 | ClutchMaster | 192.168.1.1 | Rotate fast.
2025-06-01 15:27:00 | NovaCat | 192.168.0.4 | Shit team.
